pc,snes_lorom,asm,context_hex
02FAE1,85:FAE1,"STA $0799,X",e3 ac 80 ae 67 00 bd 99 07 18 69 05 9d 99 07 a9 00 7d d9 07 9d d9 07 80 a1 a5 6a 22 aa af 80 22 35 ad 80 6b 03 00 00 35 fb 03 00 00 35 fb 02 00
038034,87:8034,"STA $0699,X",19 06 9d d9 09 a9 ff 9d d9 07 a9 0f 9d 99 06 a9 0f 9d 99 09 a5 06 29 0f 09 f0 8d 75 03 8a 7a fa 6b da 5a 48 c2 20 a9 88 80 85 0f e2 20 a9 83 85
038075,87:8075,"STA $0699,X",19 06 9d d9 09 a9 01 9d d9 07 a9 00 9d 99 06 a9 0f 9d 99 09 a5 06 29 0f 8d 75 03 8a 7a fa 6b bd d9 09 10 11 bd d9 07 30 07 a9 0f 9d 99 06 80 10
038094,87:8094,"STA $0699,X",bd d9 09 10 11 bd d9 07 30 07 a9 0f 9d 99 06 80 10 9e 99 06 80 0b de 19 06 d0 37 bd 59 06 9d 19 06 bd 99 06 0a 0a 0a 0a 85 1e ad 75 03 29 0f 05
0380A9,87:80A9,"LDA $0699,X",0b de 19 06 d0 37 bd 59 06 9d 19 06 bd 99 06 0a 0a 0a 0a 85 1e ad 75 03 29 0f 05 1e 8d 75 03 bd 99 06 18 7d d9 07 9d 99 06 de 99 09 10 0f 22 e8
0380BC,87:80BC,"LDA $0699,X",85 1e ad 75 03 29 0f 05 1e 8d 75 03 bd 99 06 18 7d d9 07 9d 99 06 de 99 09 10 0f 22 e8 ac 80 9e d9 09 22 e8 ac 80 22 35 ad 80 6b da 5a 48 c2 20
0380C3,87:80C3,"STA $0699,X",05 1e 8d 75 03 bd 99 06 18 7d d9 07 9d 99 06 de 99 09 10 0f 22 e8 ac 80 9e d9 09 22 e8 ac 80 22 35 ad 80 6b da 5a 48 c2 20 a9 87 82 85 0f e2 20
03811A,87:811A,"STA $0759,X",29 20 9d d9 08 a9 01 9d d9 09 a9 e0 9d 59 07 a9 87 9d 99 07 a9 ff 9d d9 07 a9 0f 9d 99 06 a9 0f 9d 99 09 a9 01 9d 19 08 a5 20 30 03 20 b8 85 8a
03811F,87:811F,"STA $0799,X",a9 01 9d d9 09 a9 e0 9d 59 07 a9 87 9d 99 07 a9 ff 9d d9 07 a9 0f 9d 99 06 a9 0f 9d 99 09 a9 01 9d 19 08 a5 20 30 03 20 b8 85 8a 7a fa 6b da 5a
038129,87:8129,"STA $0699,X",a9 87 9d 99 07 a9 ff 9d d9 07 a9 0f 9d 99 06 a9 0f 9d 99 09 a9 01 9d 19 08 a5 20 30 03 20 b8 85 8a 7a fa 6b da 5a 48 c2 20 a9 87 82 85 0f e2 20
038180,87:8180,"STA $0759,X",29 20 9d d9 08 a9 01 9d d9 09 a9 e0 9d 59 07 a9 89 9d 99 07 a9 ff 9d d9 07 a9 0f 9d 99 06 a9 0f 9d 99 09 a9 01 9d 19 08 a5 20 30 03 20 b8 85 8a
038185,87:8185,"STA $0799,X",a9 01 9d d9 09 a9 e0 9d 59 07 a9 89 9d 99 07 a9 ff 9d d9 07 a9 0f 9d 99 06 a9 0f 9d 99 09 a9 01 9d 19 08 a5 20 30 03 20 b8 85 8a 7a fa 6b da 5a
03818F,87:818F,"STA $0699,X",a9 89 9d 99 07 a9 ff 9d d9 07 a9 0f 9d 99 06 a9 0f 9d 99 09 a9 01 9d 19 08 a5 20 30 03 20 b8 85 8a 7a fa 6b da 5a 48 c2 20 a9 87 82 85 0f e2 20
0381E6,87:81E6,"STA $0759,X",29 20 9d d9 08 a9 01 9d d9 09 a9 e0 9d 59 07 a9 87 9d 99 07 a9 01 9d d9 07 a9 00 9d 99 06 a9 0f 9d 99 09 9e 19 08 a5 20 30 0e 20 b8 85 64 1e 64
0381EB,87:81EB,"STA $0799,X",a9 01 9d d9 09 a9 e0 9d 59 07 a9 87 9d 99 07 a9 01 9d d9 07 a9 00 9d 99 06 a9 0f 9d 99 09 9e 19 08 a5 20 30 0e 20 b8 85 64 1e 64 1f 20 49 86 22
