tile,tile_hex,count,palette,hflip,vflip,priority,vram_offset_if_charbase_8000_4bpp
375,0x177,2,5,0,1,1,0xAEE0
328,0x148,2,5,0,1,1,0xA900
887,0x377,2,5,0,1,1,0xEEE0
631,0x277,2,4,0,1,1,0xCEE0
57,0x039,2,5,1,1,0,0x8720
359,0x167,2,5,1,1,0,0xACE0
517,0x205,2,5,1,1,0,0xC0A0
876,0x36C,2,3,0,1,0,0xED80
623,0x26F,2,2,1,0,0,0xCDE0
554,0x22A,2,2,0,1,0,0xC540
333,0x14D,2,2,1,0,0,0xA9A0
838,0x346,2,3,0,1,0,0xE8C0
839,0x347,2,3,0,1,0,0xE8E0
