map_base,char_base,bpp,score,nonblank_ref_ratio,top_palette_ratio,top_attr_ratio,tile_unique,tile_repeat_ratio,h_or_v_flip_ratio,priority_ratio,pair_repeat_ratio,top_tiles,top_attrs
B000,A000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B000,E000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B000,E000,4,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B800,8000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B800,8000,4,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B800,A000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B800,E000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B800,E000,4,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E000,8000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E000,8000,4,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E000,A000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E000,E000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E000,E000,4,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E800,8000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E800,8000,4,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E800,A000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
