rank,off,hex_off,bpp,score,nonzero_ratio,entropy,unique_byte_count,window_size
178,542720,0x084800,2,2.383904450225752,0.96728515625,7.351313726806016,247,2048
179,1779712,0x1B2800,2,2.3838494182571397,0.9599609375,6.701264096057117,188,2048
180,489472,0x077800,2,2.3837075984480047,0.96728515625,5.824738912584037,125,2048
181,1089536,0x10A000,2,2.3833144798277957,0.96923828125,7.348156463622365,249,2048
182,104448,0x019800,2,2.3829334901729395,0.978515625,6.546280421383517,194,2048
183,1918976,0x1D4800,2,2.3828620592389953,0.97021484375,6.170318348911961,156,2048
184,2078720,0x1FB800,2,2.3828523741700063,0.953125,7.5128189933600495,247,2048
185,1021952,0x0F9800,2,2.3826941057158844,0.9736328125,7.2779590957270734,248,2048
186,925696,0x0E2000,4,2.382592740912895,0.997314453125,7.092968489803158,256,4096
187,253952,0x03E000,2,2.382483509860577,0.97216796875,6.556352453884617,189,2048
188,505856,0x07B800,2,2.3824697700884054,0.9833984375,5.971476910707243,153,2048
189,1085440,0x109000,2,2.3822598870137393,0.96240234375,7.359250971109917,244,2048
190,192512,0x02F000,2,2.3818763551961584,0.97900390625,6.694463966569267,207,2048
191,569344,0x08B000,2,2.3817844979381295,0.9619140625,7.473807233505034,253,2048
192,1146880,0x118000,2,2.381734993714338,0.97216796875,7.1503643247147055,237,2048
193,110592,0x01B000,2,2.3816181421488962,0.9716796875,6.76778888719117,206,2048
194,210944,0x033800,2,2.381467353367134,0.9697265625,6.552520076937073,187,2048
195,163840,0x028000,2,2.381295075817104,0.9833984375,6.387079356536829,187,2048
196,1802240,0x1B8000,4,2.3808029836267393,0.9658203125,6.794080119013912,203,4096
197,1953792,0x1DD000,4,2.3807758664163092,0.96728515625,6.8637850563304745,210,4096
198,2019328,0x1ED000,2,2.3807000982987834,0.9775390625,6.165132036390267,164,2048
199,1988608,0x1E5800,2,2.380615294738274,0.9775390625,6.264453607906189,172,2048
200,100352,0x018800,2,2.380528451689533,0.98388671875,6.6625869885162645,210,2048
